127.0.0.1 - - [17/Jun/2017:11:04:33 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/angular-aria.min.js HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/angular-ui-router.min.js HTTP/1.1" 200 33848
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/angular-animate.min.js HTTP/1.1" 200 25673
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/src/common/common.module.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/src/cricket.module.js HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/common/data-store.service.js HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/common/loading/loading.component.js HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/common/loading/loading.interceptor.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/lib/angular-material.min.js HTTP/1.1" 200 387136
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/common/menu.service.js HTTP/1.1" 200 31244
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/public/public.module.js HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/common/table-grid/table-match.component.js HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/public/public.routes.js HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:56 -0500] "GET /ZulfiCricket/static/src/public/menu/menu.controller.js HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/common/teams/teams.service.js HTTP/1.1" 200 8815
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/common/teams/table.points.service.js HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/team/team.controller.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/menu-category/menu-category.component.js HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/menu-items/menu-items.controller.js HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/results/results.controller.js HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/registered/user.service.js HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/menu-item/menu-item.component.js HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/registered/registered.controllers.js HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/home/home.controller.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/availability/availability.controller.js HTTP/1.1" 200 5267
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/schedule/schedule.controllers.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/score-card/scorecard.controllers.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/score-card/livesore.controllers.js HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:57 -0500] "GET /ZulfiCricket/static/src/public/timer.js HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "POST /ZulfiCricket/user/session HTTP/1.1" 200 206
