127.0.0.1 - - [06/Jul/2017:23:04:23 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:06 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:06 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:22 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:22 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:23 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:42:23 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:27 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:27 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:27 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:27 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:56 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:56 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:56 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:43:56 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:44:31 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:44:31 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:44:31 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:44:31 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:45:10 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:45:10 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:45:10 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:45:10 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
